status,grain,source,column,year,n_cells,value_min,value_max,runtime_s,out_path,reason
rendered,zip5,nlcd,nlcd__crop_frac,2019,38393,0.0,98.07088607594937,9.779,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/nlcd/crop_frac_2019.png,
rendered,zip5,nlcd,nlcd__developed_frac,2018,38393,0.03628394957965967,100.0,11.049,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/nlcd/developed_frac_2018.png,
rendered,zip5,nlcd,nlcd__developed_frac,2019,38393,0.0,100.0,11.033,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/nlcd/developed_frac_2019.png,
rendered,zip5,nlcd,nlcd__forest_frac,2018,38393,0.0,98.66942196199989,11.021,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/nlcd/forest_frac_2018.png,
rendered,zip5,nlcd,nlcd__forest_frac,2019,38393,0.0,98.28456243315141,10.965,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/nlcd/forest_frac_2019.png,
rendered,zip5,ozone_lur,ozone_lur__o3_mean,2018,33039,0.02368990360976082,0.062089679696380275,11.126,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/ozone_lur/o3_mean_2018.png,
rendered,zip5,ozone_lur,ozone_lur__o3_mean,2019,33037,0.022817012448221038,0.05927604800217772,11.327,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/ozone_lur/o3_mean_2019.png,
rendered,zip5,ozone_lur,ozone_lur__o3_p98,2018,33039,0.03767067551612853,0.10441893011331557,11.426,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/ozone_lur/o3_p98_2018.png,
rendered,zip5,ozone_lur,ozone_lur__o3_p98,2019,33037,0.03498575687408447,0.10605409264564511,11.435,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/ozone_lur/o3_p98_2019.png,
rendered,zip5,pm25_lur,pm25_lur__pm25_mean,2018,33039,1.600554296807131,37.29502233914589,10.961,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/pm25_lur/pm25_mean_2018.png,
